City,Filing_Method,Marital_Status,Children_or_No_Children_Status,Age_Range,Count_of_Tax_Filers
Belleville ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,950
Belleville ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1110
Belleville ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1200
Belleville ,Paper,Married or Living common-law,No Children Declared,65 and Older,1220
Belleville ,Paper,Married or Living common-law,No Children Declared,26 - 64,1390
Belleville ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1410
Belleville ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,2100
Belleville ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,2210
Belleville ,Netfile,Married or Living common-law,No Children Declared,65 and Older,2480
Belleville ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,3300
Belleville ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,4120
Belleville ,Netfile,Married or Living common-law,With Children Declared,26 - 64,4780
Belleville ,Netfile,Married or Living common-law,No Children Declared,26 - 64,5160
Belleville ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,5310
Belleville ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,6920
Belleville ,Efile,Married or Living common-law,With Children Declared,26 - 64,7250
Belleville ,Efile,Married or Living common-law,No Children Declared,65 and Older,7470
Belleville ,Efile,Married or Living common-law,No Children Declared,26 - 64,8940
Brandon ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Brandon ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Brandon ,Paper,Unstated,No Children Declared,65 and Older,0
Brandon ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Brandon ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Brandon ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Brandon ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Brandon ,Paper,Unstated,No Children Declared,26 - 64,10
Brandon ,Paper,Married or Living common-law,No Children Declared,19 - 25,20
Brandon ,Efile,Married or Living common-law,With Children Declared,65 and Older,20
Brandon ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,40
Brandon ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,70
Brandon ,Netfile,Married or Living common-law,With Children Declared,19 - 25,80
Brandon ,Netfile,Married or Living common-law,No Children Declared,19 - 25,150
Brandon ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,170
Brandon ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,210
Brandon ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,250
Brandon ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,250
Brandon ,Efile,Married or Living common-law,With Children Declared,19 - 25,290
Brandon ,Paper,Married or Living common-law,With Children Declared,26 - 64,300
Brandon ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,370
Brandon ,Efile,Married or Living common-law,No Children Declared,19 - 25,410
Brandon ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,420
Brandon ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,460
Brandon ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,530
Brandon ,Paper,Married or Living common-law,No Children Declared,65 and Older,540
Brandon ,Paper,Married or Living common-law,No Children Declared,26 - 64,580
Brandon ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,710
Brandon ,Netfile,Married or Living common-law,No Children Declared,65 and Older,890
Brandon ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1180
Brandon ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1460
Brandon ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1880
Brandon ,Netfile,Married or Living common-law,No Children Declared,26 - 64,2450
Brandon ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2570
Brandon ,Netfile,Married or Living common-law,With Children Declared,26 - 64,2830
Brandon ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,2880
Brandon ,Efile,Married or Living common-law,No Children Declared,65 and Older,3610
Brandon ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,4940
Brandon ,Efile,Married or Living common-law,No Children Declared,26 - 64,6060
Brandon ,Efile,Married or Living common-law,With Children Declared,26 - 64,7340
Brantford ,Paper,Unstated,No Children Declared,18 and Under,0
Brantford ,Paper,Unstated,No Children Declared,19 - 25,0
Brantford ,Paper,Unstated,With Children Declared,19 - 25,0
Brantford ,Paper,Unstated,With Children Declared,26 - 64,0
Brantford ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Brantford ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Brantford ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Brantford ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Brantford ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Brantford ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Brantford ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,10
Brantford ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,10
Brantford ,Paper,Married or Living common-law,With Children Declared,19 - 25,20
Brantford ,Paper,Married or Living common-law,With Children Declared,65 and Older,20
Brantford ,Netfile,Married or Living common-law,With Children Declared,65 and Older,20
Brantford ,Paper,Unstated,No Children Declared,65 and Older,30
Brantford ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,30
Brantford ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,40
Brantford ,Paper,Unstated,No Children Declared,26 - 64,40
Brantford ,Paper,Married or Living common-law,No Children Declared,19 - 25,50
Brantford ,Efile,Married or Living common-law,With Children Declared,65 and Older,80
Brantford ,Netfile,Married or Living common-law,With Children Declared,19 - 25,190
Brantford ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,210
Brantford ,Netfile,Married or Living common-law,No Children Declared,19 - 25,220
Brantford ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,300
Brantford ,Efile,Married or Living common-law,With Children Declared,19 - 25,340
Brantford ,Efile,Married or Living common-law,No Children Declared,19 - 25,360
Brantford ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,380
Brantford ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,430
Brantford ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,590
Brantford ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,650
Brantford ,Paper,Married or Living common-law,With Children Declared,26 - 64,960
Brantford ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1410
Brantford ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,1420
Brantford ,Paper,Married or Living common-law,No Children Declared,65 and Older,1650
Brantford ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1650
Brantford ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1800
Brantford ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2040
Brantford ,Paper,Married or Living common-law,No Children Declared,26 - 64,2730
Brantford ,Netfile,Married or Living common-law,No Children Declared,65 and Older,2820
Brantford ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,3090
Brantford ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,3090
Brantford ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,5370
Brantford ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,5520
Brantford ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,6500
Brantford ,Netfile,Married or Living common-law,No Children Declared,26 - 64,6610
Brantford ,Netfile,Married or Living common-law,With Children Declared,26 - 64,7250
Brantford ,Efile,Married or Living common-law,No Children Declared,65 and Older,9470
Brantford ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,9930
Brantford ,Efile,Married or Living common-law,With Children Declared,26 - 64,11870
Brantford ,Efile,Married or Living common-law,No Children Declared,26 - 64,12710
Brockville ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Brockville ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Brockville ,Paper,Unstated,No Children Declared,18 and Under,0
Brockville ,Paper,Unstated,No Children Declared,19 - 25,0
Brockville ,Paper,Unstated,No Children Declared,65 and Older,0
Brockville ,Paper,Unstated,With Children Declared,26 - 64,0
Brockville ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Brockville ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Brockville ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Brockville ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Brockville ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Brockville ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Brockville ,Paper,Married or Living common-law,No Children Declared,19 - 25,10
Brockville ,Paper,Married or Living common-law,With Children Declared,19 - 25,10
Brockville ,Paper,Unstated,No Children Declared,26 - 64,10
Brockville ,Efile,Married or Living common-law,With Children Declared,65 and Older,10
Brockville ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,10
Brockville ,Netfile,Married or Living common-law,With Children Declared,19 - 25,40
Brockville ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,60
Brockville ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,60
Brockville ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,70
Brockville ,Netfile,Married or Living common-law,No Children Declared,19 - 25,80
Brockville ,Efile,Married or Living common-law,With Children Declared,19 - 25,90
Brockville ,Efile,Married or Living common-law,No Children Declared,19 - 25,100
Brockville ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,110
Brockville ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,150
Brockville ,Paper,Married or Living common-law,With Children Declared,26 - 64,200
Brockville ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,200
Brockville ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,330
Brockville ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,430
Brockville ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,440
Brockville ,Paper,Married or Living common-law,No Children Declared,26 - 64,550
Brockville ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,580
Brockville ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,620
Brockville ,Paper,Married or Living common-law,No Children Declared,65 and Older,670
Brockville ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,740
Brockville ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,970
Brockville ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1250
Brockville ,Netfile,Married or Living common-law,No Children Declared,65 and Older,1370
Brockville ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1630
Brockville ,Netfile,Married or Living common-law,With Children Declared,26 - 64,1810
Brockville ,Netfile,Married or Living common-law,No Children Declared,26 - 64,2270
Brockville ,Efile,Married or Living common-law,With Children Declared,26 - 64,2400
Brockville ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2460
Brockville ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2820
Brockville ,Efile,Married or Living common-law,No Children Declared,65 and Older,3470
Brockville ,Efile,Married or Living common-law,No Children Declared,26 - 64,3560
