CMA_or_CA,Filing_Method,Major_Source_of_Income,Total_Income_Range,Complexity,Count_of_Taxfilers
Baie-Comeau CA,Netfile,Employment,"Less than $25,000",Complex,50
Baie-Comeau CA,Netfile,Pension,"Less than $25,000",Complex,50
Baie-Comeau CA,Paper,Employment,"Less than $25,000",Complex,40
Baie-Comeau CA,Netfile,Self-employment,"Less than $25,000",Complex,40
Baie-Comeau CA,Efile,Investment,"Less than $25,000",Complex,40
Baie-Comeau CA,Efile,Other,"Between $50,000 and $99,999",Simple,40
Baie-Comeau CA,Efile,Self-employment,"$100,000 and Above",Complex,40
Baie-Comeau CA,Paper,Employment,"$100,000 and Above",Complex,30
Baie-Comeau CA,Netfile,Other,"Less than $25,000",Complex,30
Baie-Comeau CA,Netfile,Other,"Between $50,000 and $99,999",Simple,30
Baie-Comeau CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,30
Baie-Comeau CA,Paper,Self-employment,"Less than $25,000",Complex,20
Baie-Comeau CA,Netfile,Pension,"$100,000 and Above",Complex,20
Baie-Comeau CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,20
Baie-Comeau CA,Efile,Other,"Between $50,000 and $99,999",Complex,20
Baie-Comeau CA,Efile,Other,"$100,000 and Above",Complex,20
Baie-Comeau CA,Efile,Other,"$100,000 and Above",Simple,20
Baie-Comeau CA,Efile,Pension,"$100,000 and Above",Complex,20
Baie-Comeau CA,Paper,Other,"Between $25,000 and $49,999",Complex,10
Baie-Comeau CA,Paper,Other,"Between $50,000 and $99,999",Simple,10
Baie-Comeau CA,Netfile,Other,"Between $25,000 and $49,999",Complex,10
Baie-Comeau CA,Netfile,Other,"Between $50,000 and $99,999",Complex,10
Baie-Comeau CA,Netfile,Other,"$100,000 and Above",Simple,10
Baie-Comeau CA,Efile,Pension,"$100,000 and Above",Simple,10
Baie-Comeau CA,Paper,No income,"Less than $25,000",Complex,0
Baie-Comeau CA,Paper,Investment,"Less than $25,000",Complex,0
Baie-Comeau CA,Paper,Investment,"Less than $25,000",Simple,0
Baie-Comeau CA,Paper,Investment,"Between $25,000 and $49,999",Complex,0
Baie-Comeau CA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
Baie-Comeau CA,Paper,Investment,"Between $50,000 and $99,999",Complex,0
Baie-Comeau CA,Paper,Investment,"$100,000 and Above",Complex,0
Baie-Comeau CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Baie-Comeau CA,Paper,Other,"$100,000 and Above",Complex,0
Baie-Comeau CA,Paper,Other,"$100,000 and Above",Simple,0
Baie-Comeau CA,Paper,Pension,"$100,000 and Above",Complex,0
Baie-Comeau CA,Paper,Pension,"$100,000 and Above",Simple,0
Baie-Comeau CA,Paper,Self-employment,"Less than $25,000",Simple,0
Baie-Comeau CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,0
Baie-Comeau CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,0
Baie-Comeau CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Baie-Comeau CA,Netfile,No income,"Less than $25,000",Complex,0
Baie-Comeau CA,Netfile,Investment,"Less than $25,000",Complex,0
Baie-Comeau CA,Netfile,Investment,"Less than $25,000",Simple,0
Baie-Comeau CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,0
Baie-Comeau CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,0
Baie-Comeau CA,Netfile,Investment,"$100,000 and Above",Complex,0
Baie-Comeau CA,Netfile,Other,"$100,000 and Above",Complex,0
Baie-Comeau CA,Netfile,Pension,"$100,000 and Above",Simple,0
Baie-Comeau CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,0
Baie-Comeau CA,Netfile,Self-employment,"$100,000 and Above",Complex,0
Baie-Comeau CA,Efile,No income,"Less than $25,000",Complex,0
Baie-Comeau CA,Efile,Investment,"Less than $25,000",Simple,0
Baie-Comeau CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Baie-Comeau CA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Baie-Comeau CA,Efile,Investment,"$100,000 and Above",Simple,0
Baie-Comeau CA,Efile,Self-employment,"Less than $25,000",Simple,0
Barrie CMA,Efile,Employment,"Less than $25,000",Simple,"10,940"
Barrie CMA,Efile,Employment,"Between $50,000 and $99,999",Simple,"10,540"
Barrie CMA,Efile,Employment,"Between $25,000 and $49,999",Simple,"9,910"
Barrie CMA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"9,220"
Barrie CMA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"7,610"
Barrie CMA,Netfile,Employment,"Less than $25,000",Simple,"7,110"
Barrie CMA,Efile,Pension,"Less than $25,000",Simple,"5,230"
Barrie CMA,Efile,Other,"Less than $25,000",Simple,"5,130"
Barrie CMA,Efile,Employment,"Between $50,000 and $99,999",Complex,"4,690"
Barrie CMA,Efile,Pension,"Between $25,000 and $49,999",Simple,"3,340"
Barrie CMA,Netfile,Other,"Less than $25,000",Simple,"3,240"
Barrie CMA,Efile,Employment,"$100,000 and Above",Simple,"2,860"
Barrie CMA,Efile,Pension,"Between $25,000 and $49,999",Complex,"2,840"
Barrie CMA,Efile,Employment,"Between $25,000 and $49,999",Complex,"2,660"
Barrie CMA,Efile,Self-employment,"Less than $25,000",Complex,"2,590"
Barrie CMA,Netfile,Employment,"$100,000 and Above",Simple,"2,530"
Barrie CMA,Netfile,Pension,"Less than $25,000",Simple,"2,510"
Barrie CMA,Efile,Employment,"$100,000 and Above",Complex,"2,480"
Barrie CMA,Netfile,Employment,"Between $50,000 and $99,999",Complex,"2,280"
Barrie CMA,Efile,Pension,"Between $50,000 and $99,999",Complex,"2,150"
Barrie CMA,Efile,Pension,"Less than $25,000",Complex,"2,050"
Barrie CMA,Paper,Employment,"Less than $25,000",Simple,"1,990"
Barrie CMA,Netfile,Pension,"Between $25,000 and $49,999",Simple,"1,600"
Barrie CMA,Paper,Pension,"Less than $25,000",Simple,"1,540"
Barrie CMA,Efile,Employment,"Less than $25,000",Complex,"1,410"
Barrie CMA,Paper,Employment,"Between $50,000 and $99,999",Simple,"1,400"
Barrie CMA,Paper,Employment,"Between $25,000 and $49,999",Simple,"1,340"
Barrie CMA,Netfile,Employment,"Between $25,000 and $49,999",Complex,"1,200"
Barrie CMA,Efile,No income,"Less than $25,000",Simple,"1,190"
Barrie CMA,Efile,Pension,"Between $50,000 and $99,999",Simple,"1,170"
Barrie CMA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,"1,120"
Barrie CMA,Netfile,Employment,"$100,000 and Above",Complex,"1,110"
Barrie CMA,Paper,Other,"Less than $25,000",Simple,"1,090"
Barrie CMA,Efile,Investment,"Between $50,000 and $99,999",Complex,930
Barrie CMA,Efile,Other,"Less than $25,000",Complex,880
Barrie CMA,Paper,Pension,"Between $25,000 and $49,999",Simple,860
Barrie CMA,Efile,Investment,"$100,000 and Above",Complex,860
Barrie CMA,Netfile,Pension,"Between $25,000 and $49,999",Complex,790
Barrie CMA,Netfile,No income,"Less than $25,000",Simple,730
Barrie CMA,Netfile,Pension,"Between $50,000 and $99,999",Simple,730
Barrie CMA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,730
Barrie CMA,Efile,Other,"Between $25,000 and $49,999",Simple,700
Barrie CMA,Netfile,Pension,"Between $50,000 and $99,999",Complex,650
Barrie CMA,Netfile,Self-employment,"Less than $25,000",Complex,630
Barrie CMA,Efile,Investment,"Less than $25,000",Complex,630
Barrie CMA,Efile,Investment,"Between $25,000 and $49,999",Complex,590
Barrie CMA,Netfile,Employment,"Less than $25,000",Complex,550
Barrie CMA,Paper,Pension,"Less than $25,000",Complex,540
Barrie CMA,Netfile,Pension,"Less than $25,000",Complex,490
Barrie CMA,Paper,Employment,"Between $50,000 and $99,999",Complex,470
Barrie CMA,Netfile,Other,"Between $25,000 and $49,999",Simple,460
Barrie CMA,Paper,Employment,"Between $25,000 and $49,999",Complex,420
Barrie CMA,Paper,Pension,"Between $25,000 and $49,999",Complex,410
Barrie CMA,Paper,Self-employment,"Less than $25,000",Complex,370
Barrie CMA,Netfile,Other,"Less than $25,000",Complex,370
Barrie CMA,Efile,Self-employment,"$100,000 and Above",Complex,360
Barrie CMA,Paper,No income,"Less than $25,000",Simple,330
Barrie CMA,Paper,Employment,"$100,000 and Above",Simple,330
Barrie CMA,Efile,Pension,"$100,000 and Above",Complex,330
Barrie CMA,Efile,Other,"Between $25,000 and $49,999",Complex,320
Barrie CMA,Paper,Employment,"Less than $25,000",Complex,300
Barrie CMA,Paper,Pension,"Between $50,000 and $99,999",Simple,300
Barrie CMA,Paper,Pension,"Between $50,000 and $99,999",Complex,270
Barrie CMA,Efile,Other,"Between $50,000 and $99,999",Complex,220
Barrie CMA,Paper,Other,"Less than $25,000",Complex,210
Barrie CMA,Paper,Employment,"$100,000 and Above",Complex,200
Barrie CMA,Netfile,Investment,"Less than $25,000",Complex,190
Barrie CMA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,190
Barrie CMA,Efile,Other,"Between $50,000 and $99,999",Simple,180
Barrie CMA,Efile,Other,"$100,000 and Above",Complex,170
Barrie CMA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,130
Barrie CMA,Efile,Investment,"Less than $25,000",Simple,130
Barrie CMA,Paper,Other,"Between $25,000 and $49,999",Simple,120
Barrie CMA,Netfile,Other,"Between $25,000 and $49,999",Complex,120
Barrie CMA,Netfile,Investment,"Between $25,000 and $49,999",Complex,110
Barrie CMA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,110
Barrie CMA,Netfile,Other,"Between $50,000 and $99,999",Simple,90
Barrie CMA,Efile,Pension,"$100,000 and Above",Simple,90
Barrie CMA,Paper,Investment,"Less than $25,000",Complex,80
Barrie CMA,Netfile,Investment,"Between $50,000 and $99,999",Complex,80
Barrie CMA,Efile,Other,"$100,000 and Above",Simple,80
Barrie CMA,Netfile,Investment,"Less than $25,000",Simple,70
Barrie CMA,Netfile,Pension,"$100,000 and Above",Complex,70
Barrie CMA,Paper,Investment,"Between $25,000 and $49,999",Complex,60
Barrie CMA,Paper,Investment,"Between $50,000 and $99,999",Complex,60
Barrie CMA,Paper,Investment,"Less than $25,000",Simple,50
Barrie CMA,Paper,Other,"Between $25,000 and $49,999",Complex,50
Barrie CMA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,50
Barrie CMA,Netfile,Other,"Between $50,000 and $99,999",Complex,50
Barrie CMA,Efile,No income,"Less than $25,000",Complex,50
Barrie CMA,Paper,No income,"Less than $25,000",Complex,40
Barrie CMA,Paper,Other,"Between $50,000 and $99,999",Simple,40
Barrie CMA,Paper,Self-employment,"$100,000 and Above",Complex,40
Barrie CMA,Netfile,Investment,"$100,000 and Above",Complex,40
Barrie CMA,Netfile,Other,"$100,000 and Above",Simple,40
Barrie CMA,Netfile,Pension,"$100,000 and Above",Simple,40
Barrie CMA,Netfile,Self-employment,"$100,000 and Above",Complex,40
Barrie CMA,Paper,Investment,"$100,000 and Above",Complex,30
Barrie CMA,Paper,Other,"Between $50,000 and $99,999",Complex,30
Barrie CMA,Netfile,Other,"$100,000 and Above",Complex,30
Barrie CMA,Paper,Other,"$100,000 and Above",Complex,20
Barrie CMA,Paper,Other,"$100,000 and Above",Simple,20
Barrie CMA,Paper,Pension,"$100,000 and Above",Complex,20
Barrie CMA,Netfile,No income,"Less than $25,000",Complex,20
Barrie CMA,Efile,Investment,"Between $25,000 and $49,999",Simple,20
Barrie CMA,Paper,Pension,"$100,000 and Above",Simple,10
Barrie CMA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
Barrie CMA,Paper,Investment,"Between $50,000 and $99,999",Simple,0
Barrie CMA,Paper,Multiple sources of income,"Between $25,000 and $49,999",Complex,0
Barrie CMA,Paper,Self-employment,"Less than $25,000",Simple,0
Barrie CMA,Paper,Self-employment,"Between $25,000 and $49,999",Simple,0
Barrie CMA,Paper,Self-employment,"$100,000 and Above",Simple,0
Barrie CMA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Barrie CMA,Netfile,Investment,"Between $50,000 and $99,999",Simple,0
Barrie CMA,Netfile,Investment,"$100,000 and Above",Simple,0
Barrie CMA,Netfile,Multiple sources of income,"Less than $25,000",Complex,0
Barrie CMA,Netfile,Multiple sources of income,"Less than $25,000",Simple,0
Barrie CMA,Netfile,Self-employment,"Less than $25,000",Simple,0
Barrie CMA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Barrie CMA,Efile,Investment,"$100,000 and Above",Simple,0
Barrie CMA,Efile,Multiple sources of income,"Less than $25,000",Complex,0
Barrie CMA,Efile,Self-employment,"Less than $25,000",Simple,0
Bathurst CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"2,230"
Bathurst CA,Efile,Pension,"Less than $25,000",Simple,"2,230"
Bathurst CA,Efile,Employment,"Less than $25,000",Simple,"1,800"
Bathurst CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"1,580"
Bathurst CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"1,520"
Bathurst CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"1,360"
Bathurst CA,Efile,Pension,"Between $25,000 and $49,999",Simple,"1,350"
Bathurst CA,Efile,Other,"Less than $25,000",Simple,"1,300"
Bathurst CA,Paper,Pension,"Less than $25,000",Simple,"1,160"
Bathurst CA,Netfile,Pension,"Less than $25,000",Simple,"1,160"
Bathurst CA,Netfile,Employment,"Less than $25,000",Simple,"1,140"
Bathurst CA,Paper,Other,"Less than $25,000",Simple,870
Bathurst CA,Netfile,Other,"Less than $25,000",Simple,700
Bathurst CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,590
Bathurst CA,Paper,Employment,"Between $25,000 and $49,999",Simple,490
Bathurst CA,Paper,Pension,"Between $25,000 and $49,999",Simple,440
Bathurst CA,Efile,Employment,"Between $50,000 and $99,999",Complex,410
Bathurst CA,Paper,Employment,"Less than $25,000",Simple,400
Bathurst CA,Efile,Other,"Between $25,000 and $49,999",Simple,390
Bathurst CA,Efile,Employment,"$100,000 and Above",Simple,370
Bathurst CA,Efile,Pension,"Between $25,000 and $49,999",Complex,360
Bathurst CA,Efile,Pension,"Less than $25,000",Complex,340
Bathurst CA,Efile,Pension,"Between $50,000 and $99,999",Simple,320
Bathurst CA,Efile,Employment,"Between $25,000 and $49,999",Complex,310
Bathurst CA,Paper,Employment,"Between $50,000 and $99,999",Simple,260
Bathurst CA,Efile,No income,"Less than $25,000",Simple,250
Bathurst CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,210
Bathurst CA,Efile,Pension,"Between $50,000 and $99,999",Complex,210
Bathurst CA,Efile,Self-employment,"Less than $25,000",Complex,210
Bathurst CA,Netfile,Employment,"$100,000 and Above",Simple,190
Bathurst CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,190
Bathurst CA,Efile,Employment,"$100,000 and Above",Complex,190
Bathurst CA,Paper,Pension,"Less than $25,000",Complex,170
Bathurst CA,Netfile,Other,"Between $25,000 and $49,999",Simple,170
Bathurst CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,160
Bathurst CA,Netfile,No income,"Less than $25,000",Simple,140
Bathurst CA,Paper,No income,"Less than $25,000",Simple,130
Bathurst CA,Efile,Investment,"Between $50,000 and $99,999",Complex,120
Bathurst CA,Efile,Employment,"Less than $25,000",Complex,110
Bathurst CA,Efile,Investment,"$100,000 and Above",Complex,110
Bathurst CA,Efile,Other,"Less than $25,000",Complex,110
Bathurst CA,Paper,Pension,"Between $50,000 and $99,999",Simple,100
Bathurst CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,100
Bathurst CA,Efile,Other,"Between $25,000 and $49,999",Complex,90
Bathurst CA,Paper,Other,"Between $25,000 and $49,999",Simple,80
Bathurst CA,Paper,Pension,"Between $25,000 and $49,999",Complex,80
Bathurst CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,80
Bathurst CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,80
Bathurst CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,80
Bathurst CA,Paper,Employment,"Between $25,000 and $49,999",Complex,70
Bathurst CA,Paper,Other,"Less than $25,000",Complex,70
Bathurst CA,Efile,Investment,"Between $25,000 and $49,999",Complex,70
Bathurst CA,Paper,Employment,"Less than $25,000",Complex,60
Bathurst CA,Netfile,Employment,"Less than $25,000",Complex,60
Bathurst CA,Netfile,Employment,"$100,000 and Above",Complex,60
Bathurst CA,Netfile,Pension,"Less than $25,000",Complex,60
Bathurst CA,Efile,Other,"$100,000 and Above",Simple,60
Bathurst CA,Paper,Employment,"Between $50,000 and $99,999",Complex,50
Bathurst CA,Netfile,Other,"Less than $25,000",Complex,50
Bathurst CA,Netfile,Self-employment,"Less than $25,000",Complex,50
Bathurst CA,Efile,Investment,"Less than $25,000",Complex,50
Bathurst CA,Efile,Other,"Between $50,000 and $99,999",Simple,50
Bathurst CA,Paper,Employment,"$100,000 and Above",Simple,40
Bathurst CA,Efile,Self-employment,"$100,000 and Above",Complex,40
Bathurst CA,Paper,Pension,"Between $50,000 and $99,999",Complex,30
Bathurst CA,Paper,Self-employment,"Less than $25,000",Complex,30
Bathurst CA,Netfile,Other,"Between $50,000 and $99,999",Simple,30
Bathurst CA,Efile,Other,"Between $50,000 and $99,999",Complex,30
Bathurst CA,Efile,Other,"$100,000 and Above",Complex,30
Bathurst CA,Paper,Employment,"$100,000 and Above",Complex,20
Bathurst CA,Paper,Other,"Between $25,000 and $49,999",Complex,20
Bathurst CA,Netfile,Other,"Between $25,000 and $49,999",Complex,20
Bathurst CA,Efile,Investment,"Less than $25,000",Simple,20
Bathurst CA,Efile,Pension,"$100,000 and Above",Complex,20
Bathurst CA,Efile,Pension,"$100,000 and Above",Simple,20
Bathurst CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,10
Bathurst CA,Netfile,Investment,"Less than $25,000",Complex,10
Bathurst CA,Netfile,Other,"$100,000 and Above",Simple,10
Bathurst CA,Paper,No income,"Less than $25,000",Complex,0
Bathurst CA,Paper,Investment,"Less than $25,000",Complex,0
Bathurst CA,Paper,Investment,"Less than $25,000",Simple,0
Bathurst CA,Paper,Investment,"Between $25,000 and $49,999",Complex,0
Bathurst CA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
Bathurst CA,Paper,Investment,"Between $50,000 and $99,999",Complex,0
Bathurst CA,Paper,Investment,"$100,000 and Above",Complex,0
Bathurst CA,Paper,Multiple sources of income,"Less than $25,000",Simple,0
Bathurst CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Bathurst CA,Paper,Other,"Between $50,000 and $99,999",Simple,0
Bathurst CA,Paper,Other,"$100,000 and Above",Complex,0
Bathurst CA,Paper,Other,"$100,000 and Above",Simple,0
Bathurst CA,Paper,Pension,"$100,000 and Above",Simple,0
Bathurst CA,Paper,Self-employment,"Less than $25,000",Simple,0
Bathurst CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,0
Bathurst CA,Netfile,No income,"Less than $25,000",Complex,0
Bathurst CA,Netfile,Investment,"Less than $25,000",Simple,0
Bathurst CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,0
Bathurst CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,0
Bathurst CA,Netfile,Investment,"$100,000 and Above",Complex,0
Bathurst CA,Netfile,Multiple sources of income,"Less than $25,000",Simple,0
Bathurst CA,Netfile,Other,"Between $50,000 and $99,999",Complex,0
Bathurst CA,Netfile,Other,"$100,000 and Above",Complex,0
Bathurst CA,Netfile,Pension,"$100,000 and Above",Complex,0
Bathurst CA,Netfile,Pension,"$100,000 and Above",Simple,0
